hanzi,tian_level,hsk_level,pinyin,primary_reading,simple_meaning,meaning,meaning_mnemonic,reading_mnemonic,components,in_names
叫,33,1,jiào,jiào,,,,,口 丨 ㇙,false
呢,33,1,ne;ní,ne,,,,,口 尸 匕,false
孩,33,1,hái,hái,,,,,子 亠 丨 ㇙ 人,false
弟,33,1,dì;tì,dì,,,,,丷 弓 丨 ㇒,false
第,33,1,dì,dì,,,,,⺮ 弓 丨 ㇒,false
假,33,3,gēi;jiǎ;jià,gēi,,,,,亻 尸 二 又,false
刷,33,3,shuā;shuà,shuā,,,,,尸 巾 刂,false
刻,33,3,kè,kè,,,,,亠 丨 ㇙ 人 刂,false
姨,33,3,yí,yí,,,,,女 大 弓,false
层,33,3,céng,céng,,,,,尸 二 厶,false
居,33,3,jū,jū,,,,,尸 十 口,true
展,33,3,zhǎn,zhǎn,,,,,尸 艹 一 乚,true
据,33,3,jù;jū,jù,,,,,扌 尸 十 口,false
收,33,3,shōu,shōu,,,,,丨 ㇙ ⺙,false
梯,33,3,tī,tī,,,,,木 丷 弓 丨 ㇒,false
该,33,3,gāi,gāi,,,,,讠 亠 丨 ㇙ 人,false
件,35,1,jiàn,jiàn,,,,,亻 牛,false
很,35,1,hěn,hěn,,,,,彳 艮,false
得,35,1,dé;de;děi,dé,,,,,彳 日 一 寸,false
星,35,1,xīng,xīng,,,,,日 生,false
样,35,1,yàng,yàng,,,,,木 羊,false
牛,35,1,niú,niú,,,,,牛,true
生,35,1,shēng,shēng,,,,,生,false
姓,35,2,xìng,xìng,,,,,女 生,false
往,35,2,wǎng,wǎng,,,,,彳 王 丶,false
着,35,2,zhāo;zháo;zhe;zhuó;zhù,zhāo,,,,,羊 目,false
养,35,3,yǎng,yǎng,,,,,羊 八,false
差,35,3,chā;chà;chāi,chā,,,,,羊 工,false
物,35,3,wù,wù,,,,,牛 勹,false
特,35,3,tè,tè,,,,,牛 土 寸,false
羊,35,3,yáng,yáng,,,,,羊,true
先,36,1,xiān,xiān,,,,,⺧ 儿,false
吗,36,1,mǎ;ma,mǎ,,,,,口 马,false
妈,36,1,mā,mā,,,,,女 马,false
要,36,1,yāo;yào,yāo,,,,,覀 女,false
雪,36,1,xuě,xuě,,,,,雨 彐,true
告,36,2,gào,gào,,,,,⺧ 口,false
洗,36,2,xǐ,xǐ,,,,,氵 ⺧ 儿,false
急,36,3,jí,jí,,,,,⺈ 彐 心,false
